state,year,civilian_labor_force_population,unemployed
Montana,1984,401741 ,30479 
Nebraska,1984,792288 ,35444 
Nevada,1984,499664 ,39459 
New Hampshire,1984,520641 ,22366 
New Jersey,1984,3810874 ,235907 
New Mexico,1984,625064 ,48883 
New York,1984,8104569 ,580707 
North Carolina,1984,3029867 ,203831 
North Dakota,1984,326772 ,17241 
Ohio,1984,5096523 ,481880 
Oklahoma,1984,1559584 ,110050 
Oregon,1984,1328665 ,125178 
Pennsylvania,1984,5495136 ,498989 
Rhode Island,1984,487592 ,26857 
South Carolina,1984,1504924 ,103888 
South Dakota,1984,341952 ,14968 
Tennessee,1984,2224347 ,190162 
Texas,1984,7840165 ,480012 
Utah,1984,704638 ,45574 
Vermont,1984,268562 ,13633 
Virginia,1984,2817037 ,143367 
Washington,1984,2064244 ,191599 
West Virginia,1984,764756 ,113120 
Wisconsin,1984,2392021 ,176208 
Wyoming,1984,254140 ,15893 
Alabama,1985,1802728 ,164977 
Alaska,1985,252127 ,24434 
Arizona,1985,1487075 ,94419 
Arkansas,1985,1047947 ,91000 
California,1985,12982818 ,931200 
Colorado,1985,1714199 ,103915 
Connecticut,1985,1710255 ,80961 
Delaware,1985,316652 ,16284 
District of Columbia,1985,323655 ,26364 
Florida,1985,5342656 ,319278 
Georgia,1985,2877663 ,184833 
Hawaii,1985,479158 ,25788 
Idaho,1985,466588 ,36730 
Illinois,1985,5672208 ,513554 
Indiana,1985,2710413 ,211261 
Iowa,1985,1413046 ,105623 
Kansas,1985,1228017 ,62661 
Kentucky,1985,1694398 ,156370 
Louisiana,1985,1985981 ,229718 
Maine,1985,551978 ,30376 
Maryland,1985,2280057 ,105090 
Massachusetts,1985,3051393 ,120870 
Michigan,1985,4360316 ,433997 
Minnesota,1985,2228246 ,133660 
Mississippi,1985,1123857 ,116847 
Missouri,1985,2460185 ,160884 
Montana,1985,402891 ,30929 
Nebraska,1985,806451 ,41759 
Nevada,1985,516346 ,39843 
New Hampshire,1985,541015 ,20168 
New Jersey,1985,3844017 ,216091 
New Mexico,1985,649722 ,54124 
New York,1985,8293107 ,548594 
North Carolina,1985,3106764 ,172947 
North Dakota,1985,332622 ,18927 
Ohio,1985,5153700 ,459356 
Oklahoma,1985,1567481 ,112951 
Oregon,1985,1321878 ,116734 
Pennsylvania,1985,5552886 ,444674 
Rhode Island,1985,499236 ,23132 
South Carolina,1985,1547943 ,107111 
South Dakota,1985,345294 ,16732 
Tennessee,1985,2257243 ,179435 
Texas,1985,8028508 ,565185 
Utah,1985,730769 ,44141 
Vermont,1985,278950 ,13358 
Virginia,1985,2862792 ,157170 
Washington,1985,2097674 ,175267 
West Virginia,1985,757346 ,99550 
Wisconsin,1985,2379204 ,171125 
Wyoming,1985,251849 ,17264 
Alabama,1986,1861327 ,180605 
Alaska,1986,255131 ,27903 
Arizona,1986,1562728 ,107988 
Arkansas,1986,1067484 ,91346 
California,1986,13335690 ,897113 
Colorado,1986,1705842 ,128194 
Connecticut,1986,1737273 ,66775 
Delaware,1986,324857 ,14077 
District of Columbia,1986,323379 ,24364 
Florida,1986,5590997 ,323488 
Georgia,1986,2982631 ,177701 
Hawaii,1986,491387 ,23452 
Idaho,1986,471760 ,39832 
Illinois,1986,5694686 ,471372 
Indiana,1986,2748410 ,188309 
Iowa,1986,1433643 ,96892 
Kansas,1986,1241711 ,66151 
Kentucky,1986,1693468 ,159054 
Louisiana,1986,1979030 ,252336 
Maine,1986,562749 ,29701 
Maryland,1986,2346980 ,106981 
Massachusetts,1986,3066029 ,119151 
Michigan,1986,4398541 ,387777 
Minnesota,1986,2241061 ,123766 
Mississippi,1986,1152710 ,131459 
Missouri,1986,2535842 ,157858 
Montana,1986,401814 ,31872 
Nebraska,1986,808354 ,40586 
Nevada,1986,530886 ,32835 
New Hampshire,1986,561335 ,15514 
New Jersey,1986,3903528 ,195726 
New Mexico,1986,671408 ,62577 
New York,1986,8438633 ,524993 
North Carolina,1986,3185480 ,168423 
North Dakota,1986,332507 ,19466 
Ohio,1986,5222904 ,431890 
Oklahoma,1986,1590593 ,131051 
Oregon,1986,1356675 ,109155 
Pennsylvania,1986,5603120 ,386388 
Rhode Island,1986,509201 ,20701 
South Carolina,1986,1587452 ,101907 
South Dakota,1986,348925 ,15966 
Tennessee,1986,2300145 ,181713 
Texas,1986,8179583 ,716385 
Utah,1986,750189 ,45656 
Vermont,1986,288936 ,12353 
Virginia,1986,2913661 ,146647 
Washington,1986,2188078 ,177636 
West Virginia,1986,747599 ,88199 
Wisconsin,1986,2417601 ,168430 
Wyoming,1986,250778 ,22300 
Alabama,1987,1869005 ,150898 
Alaska,1987,248599 ,25557 
Arizona,1987,1618230 ,104377 
Arkansas,1987,1092247 ,88376 
California,1987,13743990 ,798225 
Colorado,1987,1701342 ,128256 
Connecticut,1987,1750361 ,58847 
Delaware,1987,332990 ,10288 
District of Columbia,1987,330066 ,20869 
Florida,1987,5859869 ,310351 
Georgia,1987,3063215 ,173707 
Hawaii,1987,510628 ,19416 
Idaho,1987,470758 ,35851 
Illinois,1987,5756424 ,428440 
Indiana,1987,2757863 ,171936 
Iowa,1987,1452988 ,79759 
Kansas,1987,1262821 ,61052 
Kentucky,1987,1692290 ,143296 
Louisiana,1987,1948253 ,236309 
Maine,1987,584840 ,25545 
Maryland,1987,2408210 ,104825 
Massachusetts,1987,3094323 ,100332 
Michigan,1987,4511201 ,374624 
Minnesota,1987,2280674 ,116886 
Mississippi,1987,1149889 ,114712 
Missouri,1987,2582361 ,162039 
Montana,1987,401148 ,29836 
Nebraska,1987,809864 ,35723 
Nevada,1987,556169 ,33752 
New Hampshire,1987,582583 ,13526 
New Jersey,1987,3961873 ,162203 
New Mexico,1987,675614 ,58842 
New York,1987,8482355 ,414591 
North Carolina,1987,3266960 ,148104 
North Dakota,1987,330954 ,16624 
Ohio,1987,5259505 ,372430 
Oklahoma,1987,1558956 ,113178 
Oregon,1987,1390525 ,87071 
Pennsylvania,1987,5662027 ,319776 
Rhode Island,1987,516940 ,18648 
South Carolina,1987,1624528 ,89876 
South Dakota,1987,353333 ,14869 
Tennessee,1987,2334831 ,154135 
Texas,1987,8274343 ,697693 
Utah,1987,755593 ,47053 
Vermont,1987,295679 ,10540 
Virginia,1987,3004002 ,128086 
Washington,1987,2257364 ,165576 
West Virginia,1987,747272 ,80926 
Wisconsin,1987,2486571 ,146891 
Wyoming,1987,240530 ,19361 
Alabama,1988,1877663 ,135287 
Alaska,1988,248861 ,21893 
Arizona,1988,1666073 ,106202 
Arkansas,1988,1111749 ,84404 
California,1988,14141442 ,748936 
Colorado,1988,1697028 ,110399 
Connecticut,1988,1746643 ,51774 
Delaware,1988,348445 ,10961 
District of Columbia,1988,329849 ,16592 
Florida,1988,6054325 ,310267 
Georgia,1988,3144406 ,179617 
Hawaii,1988,517775 ,16434 
Idaho,1988,479124 ,28877 
Illinois,1988,5849194 ,390232 
Indiana,1988,2805683 ,146976 
Iowa,1988,1491110 ,67000 
Kansas,1988,1276496 ,57940 
Kentucky,1988,1712328 ,130362 
Louisiana,1988,1920896 ,208138 
Maine,1988,598659 ,21764 
Maryland,1988,2469123 ,104984 
Massachusetts,1988,3141431 ,102605 
Michigan,1988,4552889 ,341130 
Minnesota,1988,2307357 ,98743 
Mississippi,1988,1145759 ,96632 
Missouri,1988,2584524 ,147749 
Montana,1988,404629 ,26893 
Nebraska,1988,813514 ,29166 
Nevada,1988,582023 ,30295 
New Hampshire,1988,599963 ,14458 
New Jersey,1988,3974034 ,151724 
New Mexico,1988,685612 ,51272 
New York,1988,8546476 ,365353 
North Carolina,1988,3320376 ,121066 
North Dakota,1988,330983 ,15505 
Ohio,1988,5317556 ,321241 
Oklahoma,1988,1527352 ,98180 
Oregon,1988,1430852 ,82476 
Pennsylvania,1988,5762223 ,290591 
Rhode Island,1988,521583 ,16214 
South Carolina,1988,1656972 ,77216 
South Dakota,1988,357415 ,14674 
Tennessee,1988,2345200 ,136563 
Texas,1988,8337079 ,612272 
Utah,1988,761260 ,37746 
Vermont,1988,301054 ,8994 
Virginia,1988,3082007 ,121401 
Washington,1988,2326789 ,146692 
West Virginia,1988,748053 ,73520 
Wisconsin,1988,2555148 ,112422 
Wyoming,1988,237937 ,15361 
Alabama,1989,1896227 ,133414 
Alaska,1989,255617 ,17931 
Arizona,1989,1718674 ,91496 
Arkansas,1989,1128467 ,78888 
California,1989,14552934 ,746063 
Colorado,1989,1702489 ,96313 
Connecticut,1989,1772352 ,66736 
Delaware,1989,359658 ,12532 
District of Columbia,1989,314700 ,15445 
Florida,1989,6237743 ,347235 
Georgia,1989,3208446 ,176840 
Hawaii,1989,527490 ,13322 
Idaho,1989,489473 ,25906 
Illinois,1989,5994211 ,361268 
Indiana,1989,2856099 ,138525 
Iowa,1989,1508708 ,63260 
Kansas,1989,1284372 ,53659 
Kentucky,1989,1736251 ,110417 
Louisiana,1989,1881536 ,150148 
Maine,1989,614540 ,24714 
Maryland,1989,2523885 ,96024 
Massachusetts,1989,3175997 ,131820 
Michigan,1989,4589440 ,327379 
Minnesota,1989,2351967 ,101956 
Mississippi,1989,1165936 ,91300 
Missouri,1989,2611877 ,144700 
Montana,1989,408809 ,23655 
Nebraska,1989,816764 ,23955 
Nevada,1989,604199 ,28599 
New Hampshire,1989,613360 ,21224 
New Jersey,1989,3996223 ,163689 
New Mexico,1989,696460 ,46731 
New York,1989,8698808 ,433607 
North Carolina,1989,3396102 ,119435 
North Dakota,1989,330463 ,14196 
Ohio,1989,5380101 ,298549 
Oklahoma,1989,1519275 ,85686 
Oregon,1989,1466406 ,79680 
Pennsylvania,1989,5826436 ,273308 
Rhode Island,1989,524842 ,21635 
South Carolina,1989,1697915 ,78555 
South Dakota,1989,360925 ,14462 
Tennessee,1989,2367338 ,120177 
Texas,1989,8442930 ,561665 
Utah,1989,789203 ,35845 
Vermont,1989,305936 ,10836 
Virginia,1989,3151756 ,122300 
Washington,1989,2451094 ,144244 
West Virginia,1989,756974 ,65245 
Wisconsin,1989,2595987 ,112731 
Wyoming,1989,237771 ,14611 
Alabama,1990,1907367 ,129224 
Alaska,1990,268422 ,19384 
Arizona,1990,1786186 ,94310 
Arkansas,1990,1131830 ,77997 
California,1990,15138423 ,874265 
Colorado,1990,1763683 ,91860 
Connecticut,1990,1819775 ,93293 
Delaware,1990,360223 ,17024 
District of Columbia,1990,328924 ,20643 
Florida,1990,6464169 ,395337 
Georgia,1990,3283912 ,179348 
Hawaii,1990,550921 ,14705 
Idaho,1990,492490 ,27235 
Illinois,1990,5947011 ,365147 
Indiana,1990,2814608 ,148542 
Iowa,1990,1451750 ,64082 
Kansas,1990,1272519 ,54632 
Kentucky,1990,1754358 ,104701 
Louisiana,1990,1869848 ,115897 
Maine,1990,633069 ,33563 
Maryland,1990,2590052 ,115543 
Massachusetts,1990,3206383 ,201913 
Michigan,1990,4607247 ,351475 
Minnesota,1990,2398899 ,114752 
Mississippi,1990,1183981 ,89945 
Missouri,1990,2614839 ,152572 
Montana,1990,403136 ,24036 
Nebraska,1990,825024 ,19316 
Nevada,1990,669920 ,31578 
New Hampshire,1990,620106 ,35093 
New Jersey,1990,4055456 ,204728 
New Mexico,1990,713787 ,46879 
New York,1990,8813271 ,469918 
North Carolina,1990,3476500 ,142523 
North Dakota,1990,317217 ,12781 
Ohio,1990,5419623 ,305381 
Oklahoma,1990,1523545 ,86631 
Oregon,1990,1490722 ,82035 
Pennsylvania,1990,5828450 ,318015 
Rhode Island,1990,525361 ,33359 
South Carolina,1990,1743547 ,83550 
South Dakota,1990,347178 ,13091 
Tennessee,1990,2394729 ,127965 
Texas,1990,8618927 ,545670 
Utah,1990,822207 ,36134 
Vermont,1990,304774 ,15265 
Virginia,1990,3252176 ,145082 
Washington,1990,2525326 ,132435 
West Virginia,1990,762165 ,64532 
Wisconsin,1990,2589873 ,113247 
Wyoming,1990,235964 ,12527 
Alabama,1991,1920555 ,141065 
Alaska,1991,276276 ,23355 
Arizona,1991,1805012 ,107337 
Arkansas,1991,1129518 ,83989 
California,1991,15126481 ,1166478 
